,MES_ANO,STATUS,ESTADO,TAMANHO_TEXTO
177,05/2022,Não respondida,GO,982
178,05/2022,Resolvido,GO,78
179,05/2022,Não respondida,BA,92
180,05/2022,Não respondida,GO,611
181,05/2022,Não respondida,SP,659
182,05/2022,Não respondida,GO,364
183,05/2022,Não respondida,BA,319
184,05/2022,Não respondida,BA,205
185,05/2022,Não respondida,CE,240
186,05/2022,Não respondida,SP,369
187,05/2022,Respondida,SP,540
188,05/2022,Respondida,PE,545
189,05/2022,Respondida,CE,230
190,05/2022,Não respondida,CE,660
191,05/2022,Respondida,BA,205
192,05/2022,Em réplica,PE,857
193,05/2022,Não respondida,PA,985
194,05/2022,Em réplica,PE,543
195,05/2022,Não respondida,CE,444
196,05/2022,Respondida,SP,302
197,05/2022,Respondida,BA,1269
198,05/2022,Respondida,CE,143
199,05/2022,Não respondida,PA,152
200,05/2022,Não respondida,RN,1367
201,05/2022,Respondida,PE,710
202,05/2022,Resolvido,RS,1364
203,05/2022,Não respondida,CE,393
204,05/2022,Respondida,GO,901
205,05/2022,Resolvido,PE,402
206,05/2022,Não respondida,CE,575
207,05/2022,Não respondida,PA,48
208,05/2022,Respondida,PA,492
209,05/2022,Não respondida,PE,850
210,05/2022,Não respondida,BA,227
211,05/2022,Não respondida,CE,706
212,05/2022,Respondida,PE,591
213,05/2022,Não respondida,RR,256
214,05/2022,Não respondida,BA,1314
215,05/2022,Respondida,BA,1363
216,06/2022,Não respondida,SP,578
217,06/2022,Respondida,SP,151
218,06/2022,Resolvido,SP,427
219,06/2022,Não respondida,PE,492
220,06/2022,Resolvido,CE,368
221,06/2022,Resolvido,PE,387
222,06/2022,Não respondida,GO,556
223,06/2022,Respondida,CE,375
224,06/2022,Não respondida,CE,426
225,06/2022,Resolvido,SP,788
226,06/2022,Não respondida,CE,333
227,06/2022,Não respondida,BA,548
228,06/2022,Respondida,BA,318
229,06/2022,Não respondida,PE,762
230,06/2022,Não respondida,CE,368
231,06/2022,Não respondida,AM,1161
232,06/2022,Não respondida,PE,220
233,06/2022,Não respondida,MS,312
234,06/2022,Não respondida,RJ,1040
235,06/2022,Não respondida,GO,1484
236,06/2022,Não respondida,RN,458
237,06/2022,Não respondida,PA,878
238,06/2022,Não respondida,CE,521
239,06/2022,Respondida,RN,167
240,06/2022,Respondida,CE,269
241,06/2022,Não respondida,GO,2639
242,06/2022,Respondida,GO,121
243,06/2022,Resolvido,PE,290
244,06/2022,Não respondida,SP,722
245,06/2022,Não respondida,CE,375
246,06/2022,Respondida,SE,137
247,06/2022,Não respondida,PE,367
248,06/2022,Respondida,PE,1696
249,06/2022,Não respondida,PE,421
250,06/2022,Não respondida,SP,1906
251,06/2022,Não respondida,AM,217
252,06/2022,Respondida,SP,615
253,06/2022,Não respondida,CE,647
254,06/2022,Respondida,PB,1189
255,06/2022,Não respondida,MG,582
256,06/2022,Não respondida,GO,916
257,06/2022,Não respondida,SP,800
258,06/2022,Não respondida,MG,648
259,06/2022,Não respondida,PE,2191
260,06/2022,Não respondida,CE,1066
261,06/2022,Não respondida,SP,370
262,06/2022,Respondida,BA,506
263,06/2022,Não respondida,PA,275
264,06/2022,Respondida,GO,180
265,06/2022,Não respondida,BA,305
266,06/2022,Não respondida,MT,1445
267,06/2022,Respondida,PE,365
268,06/2022,Não respondida,MA,519
269,06/2022,Não respondida,BA,273
270,06/2022,Não respondida,SP,1237
271,06/2022,Não respondida,BA,888
272,06/2022,Respondida,SP,542
273,06/2022,Não respondida,RN,556
274,06/2022,Respondida,SP,1189
275,06/2022,Respondida,GO,553
276,06/2022,Respondida,MS,763
277,06/2022,Não respondida,SP,2052
278,06/2022,Não respondida,CE,203
279,06/2022,Não respondida,CE,454
280,07/2022,Não respondida,CE,810
281,07/2022,Não respondida,AM,210
282,07/2022,Respondida,RN,205
283,07/2022,Não respondida,PE,783
284,07/2022,Resolvido,MG,434
285,07/2022,Não respondida,BA,2547
286,07/2022,Resolvido,PE,372
287,07/2022,Não respondida,CE,1105
288,07/2022,Resolvido,CE,660
289,07/2022,Respondida,CE,202
290,07/2022,Não respondida,CE,1078
291,07/2022,Não respondida,SP,1508
292,07/2022,Não respondida,CE,335
293,07/2022,Não respondida,CE,750
294,08/2022,Não respondida,PE,308
295,08/2022,Respondida,RN,458
296,08/2022,Não respondida,BA,673
297,08/2022,Respondida,PE,765
298,08/2022,Não respondida,PA,142
299,08/2022,Não respondida,MS,484
300,08/2022,Não respondida,PB,750
301,08/2022,Não respondida,SP,1343
302,08/2022,Não respondida,GO,1015
303,08/2022,Não respondida,SE,1777
304,08/2022,Não respondida,GO,843
305,08/2022,Não respondida,CE,167
306,08/2022,Não respondida,PA,249
307,08/2022,Não respondida,PE,1723
308,08/2022,Não respondida,SP,789
309,08/2022,Não respondida,SP,301
310,08/2022,Não respondida,BA,619
311,08/2022,Não respondida,GO,1862
312,08/2022,Não respondida,BA,294
313,08/2022,Não respondida,CE,191
314,08/2022,Não respondida,SP,248
315,08/2022,Não respondida,PE,503
316,08/2022,Não respondida,PE,737
317,08/2022,Não respondida,SP,2004
318,08/2022,Não respondida,CE,797
319,08/2022,Não respondida,CE,2633
320,08/2022,Não respondida,BA,2692
321,08/2022,Não respondida,PB,1139
322,08/2022,Não respondida,CE,281
323,08/2022,Não respondida,CE,474
324,08/2022,Não respondida,CE,689
325,08/2022,Não respondida,GO,509
326,08/2022,Não respondida,BA,643
327,08/2022,Não respondida,GO,477
328,08/2022,Não respondida,BA,359
329,08/2022,Resolvido,PE,484
330,08/2022,Não respondida,BA,872
331,08/2022,Respondida,RN,439
332,08/2022,Não respondida,CE,911
333,08/2022,Respondida,CE,357
334,08/2022,Em réplica,SP,767
335,08/2022,Não respondida,CE,534
336,08/2022,Respondida,MA,1071
337,08/2022,Em réplica,AM,988
338,08/2022,Não respondida,PB,356
339,08/2022,Não respondida,MS,456
340,08/2022,Não respondida,SP,86
341,08/2022,Não respondida,CE,525
342,08/2022,Não respondida,AM,315
343,08/2022,Não respondida,AL,416
344,08/2022,Não respondida,--,1126
345,08/2022,Não respondida,CE,187
346,08/2022,Não respondida,SP,1293
347,08/2022,Não respondida,SP,278
348,08/2022,Não respondida,SP,1306
349,08/2022,Não respondida,PE,1233
350,08/2022,Não respondida,BA,234
351,08/2022,Não respondida,BA,170
352,08/2022,Não respondida,CE,513
353,08/2022,Respondida,GO,260
354,08/2022,Resolvido,BA,491
355,08/2022,Não respondida,BA,687
356,08/2022,Não respondida,BA,260
357,08/2022,Resolvido,SP,1148
358,08/2022,Não respondida,SP,83
359,08/2022,Respondida,PE,318
360,08/2022,Em réplica,CE,1264
361,08/2022,Não respondida,RJ,193
362,08/2022,Em réplica,PE,629
363,08/2022,Não respondida,PE,466
364,08/2022,Não respondida,BA,1595
365,08/2022,Em réplica,PA,1788
366,08/2022,Respondida,RN,953
367,08/2022,Respondida,CE,1102
368,08/2022,Respondida,SP,394
369,08/2022,Não respondida,SP,461
370,08/2022,Em réplica,CE,812
371,08/2022,Não respondida,SP,650
372,08/2022,Respondida,PE,419
373,08/2022,Respondida,CE,821
374,08/2022,Respondida,GO,194
375,08/2022,Respondida,MA,349
376,08/2022,Respondida,RN,187
377,08/2022,Respondida,CE,564
378,08/2022,Respondida,PE,347
379,08/2022,Respondida,SP,466
380,08/2022,Respondida,GO,1065
381,08/2022,Respondida,MS,797
382,08/2022,Não respondida,PB,848
383,08/2022,Não respondida,MS,1796
384,08/2022,Respondida,SP,275
385,08/2022,Não respondida,PE,870
386,08/2022,Respondida,CE,264
387,08/2022,Não respondida,PE,444
388,08/2022,Respondida,PE,501
389,08/2022,Em réplica,CE,108
390,08/2022,Respondida,GO,331
391,08/2022,Respondida,AM,1583
392,08/2022,Não respondida,CE,1983
393,08/2022,Não respondida,SP,1606
394,08/2022,Não respondida,BA,78
395,08/2022,Não respondida,CE,251
396,08/2022,Não respondida,MS,194
397,08/2022,Não respondida,BA,780
398,08/2022,Não respondida,RS,431
399,08/2022,Respondida,PE,623
400,08/2022,Não respondida,PE,899
401,08/2022,Não respondida,CE,372
402,08/2022,Não respondida,SP,156
403,08/2022,Respondida,CE,2293
404,08/2022,Resolvido,GO,314
405,08/2022,Não respondida,PE,440
406,08/2022,Não respondida,CE,832
407,08/2022,Resolvido,RN,387
408,08/2022,Respondida,SP,136
409,08/2022,Não respondida,SP,1228
410,08/2022,Respondida,PE,236
411,08/2022,Não respondida,SP,515
412,08/2022,Respondida,PA,596
413,08/2022,Não respondida,SC,552
414,08/2022,Não respondida,PE,2189
415,08/2022,Não respondida,BA,439
416,08/2022,Em réplica,CE,293
417,08/2022,Respondida,RN,691
418,08/2022,Não respondida,MS,518
419,08/2022,Não respondida,PE,938
420,08/2022,Resolvido,CE,338
421,08/2022,Não respondida,BA,1804
422,08/2022,Não respondida,MT,336
423,08/2022,Respondida,SP,396
424,08/2022,Não respondida,RN,455
425,08/2022,Respondida,CE,1332
426,08/2022,Não respondida,PE,211
427,08/2022,Não respondida,PB,929
428,08/2022,Não respondida,CE,530
429,08/2022,Resolvido,RN,455
430,08/2022,Respondida,CE,653
431,08/2022,Respondida,PE,346
432,08/2022,Respondida,RN,370
433,08/2022,Respondida,PI,421
434,08/2022,Respondida,CE,259
435,08/2022,Não respondida,MS,646
436,08/2022,Respondida,PA,320
437,08/2022,Não respondida,BA,1389
438,08/2022,Respondida,SP,724
439,08/2022,Em réplica,CE,1053
440,08/2022,Respondida,SP,1082
441,08/2022,Resolvido,SP,676
442,08/2022,Não respondida,SP,972
443,08/2022,Respondida,SP,1333
444,08/2022,Respondida,PE,615
445,08/2022,Não respondida,PE,551
446,08/2022,Não respondida,SP,1064
447,08/2022,Não respondida,PE,2043
448,08/2022,Respondida,CE,554
449,08/2022,Não respondida,BA,862
450,08/2022,Não respondida,BA,3259
451,08/2022,Respondida,CE,446
452,08/2022,Respondida,PE,1108
453,08/2022,Resolvido,GO,371
454,08/2022,Respondida,BA,274
455,08/2022,Resolvido,AM,1556
456,08/2022,Não respondida,BA,624
457,08/2022,Em réplica,PE,868
458,08/2022,Em réplica,PE,547
459,08/2022,Respondida,PE,613
460,08/2022,Não respondida,SE,368
461,08/2022,Respondida,BA,358
462,08/2022,Resolvido,RN,420
463,08/2022,Resolvido,CE,166
464,08/2022,Não respondida,PB,1071
465,08/2022,Não respondida,PE,1585
466,08/2022,Respondida,PE,453
467,08/2022,Em réplica,SP,326
468,08/2022,Não respondida,PE,505
469,08/2022,Respondida,ES,246
470,08/2022,Resolvido,CE,210
471,08/2022,Respondida,CE,188
472,08/2022,Resolvido,CE,275
473,08/2022,Respondida,SE,163
474,08/2022,Respondida,CE,292
475,08/2022,Não respondida,CE,826
476,08/2022,Não respondida,BA,226
477,08/2022,Não respondida,PA,295
478,08/2022,Respondida,CE,697
479,08/2022,Não respondida,PI,508
480,08/2022,Não respondida,CE,624
481,08/2022,Respondida,PE,188
482,08/2022,Respondida,PE,303
483,08/2022,Não respondida,BA,600
484,08/2022,Respondida,PE,273
485,08/2022,Não respondida,PE,208
486,08/2022,Respondida,SE,318
487,08/2022,Respondida,GO,426
488,08/2022,Respondida,PB,553
489,08/2022,Resolvido,CE,1891
490,08/2022,Não respondida,ES,1026
491,08/2022,Respondida,SP,643
492,08/2022,Resolvido,AL,1465
493,08/2022,Não respondida,AL,594
494,08/2022,Respondida,AM,1129
495,08/2022,Não respondida,SP,712
496,08/2022,Respondida,CE,953
497,08/2022,Respondida,BA,1348
498,08/2022,Respondida,CE,573
499,08/2022,Respondida,CE,559
500,08/2022,Não respondida,BA,940
501,08/2022,Não respondida,BA,1294
502,08/2022,Não respondida,BA,1156
503,08/2022,Em réplica,PE,430
504,08/2022,Não respondida,BA,379
505,08/2022,Respondida,PE,1096
506,08/2022,Respondida,MA,244
507,08/2022,Respondida,SP,234
508,08/2022,Respondida,BA,417
509,08/2022,Resolvido,SP,278
510,08/2022,Respondida,PA,630
511,08/2022,Não respondida,CE,550
512,08/2022,Não respondida,RN,733
513,08/2022,Não respondida,CE,228
514,08/2022,Respondida,PE,668
515,08/2022,Respondida,CE,310
516,08/2022,Não respondida,PE,291
517,08/2022,Respondida,PE,291
518,08/2022,Não respondida,RN,867
519,08/2022,Não respondida,SP,393
520,08/2022,Respondida,PE,742
521,08/2022,Respondida,BA,408
522,08/2022,Não respondida,PE,915
523,08/2022,Respondida,SP,550
524,08/2022,Não resolvido,BA,644
525,08/2022,Resolvido,CE,754
526,08/2022,Respondida,AM,474
527,08/2022,Não respondida,BA,784
528,08/2022,Em réplica,BA,370
529,08/2022,Não respondida,SP,268
530,08/2022,Não respondida,BA,140
531,08/2022,Não respondida,GO,568
532,08/2022,Respondida,RN,993
533,08/2022,Em réplica,BA,1451
534,08/2022,Respondida,GO,880
535,08/2022,Respondida,CE,1168
536,08/2022,Não respondida,PE,1055
537,08/2022,Respondida,SP,732
538,08/2022,Respondida,RN,424
539,08/2022,Respondida,GO,630
540,08/2022,Não respondida,PE,1019
541,08/2022,Não respondida,BA,1682
542,08/2022,Resolvido,SP,780
543,08/2022,Respondida,SP,32
544,08/2022,Respondida,TO,198
545,08/2022,Resolvido,SC,743
546,08/2022,Resolvido,PE,767
547,08/2022,Não respondida,AL,737
548,08/2022,Em réplica,PE,159
549,08/2022,Respondida,CE,218
550,08/2022,Respondida,BA,271
551,08/2022,Respondida,MG,550
552,08/2022,Respondida,BA,1001
553,08/2022,Não respondida,PE,1256
554,08/2022,Não respondida,BA,1132
555,08/2022,Respondida,BA,726
556,08/2022,Respondida,AM,2002
557,08/2022,Respondida,CE,444
558,08/2022,Respondida,GO,472
559,08/2022,Não respondida,PB,89
560,08/2022,Não respondida,BA,1086
561,08/2022,Respondida,CE,242
562,08/2022,Não respondida,PE,798
563,08/2022,Resolvido,SP,551
564,08/2022,Respondida,GO,995
565,08/2022,Respondida,SP,549
566,08/2022,Resolvido,BA,671
567,08/2022,Não respondida,PE,585
568,08/2022,Respondida,GO,377
569,08/2022,Não respondida,AL,848
570,08/2022,Não respondida,SP,3491
571,08/2022,Respondida,BA,931
572,08/2022,Não respondida,CE,231
573,08/2022,Não respondida,AM,645
574,08/2022,Respondida,PE,1105
575,08/2022,Respondida,SP,327
576,08/2022,Respondida,PE,398
577,08/2022,Resolvido,SP,439
578,08/2022,Respondida,BA,365
579,08/2022,Não respondida,SP,1458
580,08/2022,Respondida,PE,506
581,08/2022,Respondida,GO,210
582,08/2022,Não respondida,CE,3485
583,08/2022,Não respondida,SC,479
584,08/2022,Respondida,GO,141
585,08/2022,Respondida,PE,184
586,08/2022,Não respondida,BA,1168
587,08/2022,Respondida,SC,475
588,08/2022,Não respondida,BA,1199
589,08/2022,Não respondida,BA,709
590,08/2022,Não respondida,DF,538
591,08/2022,Respondida,CE,314
592,08/2022,Não respondida,GO,583
